tweet_id,timestamp,retweet_count,favorite_count,name,dog_stages,rating_ratio,dog_breed,confidence,dog_or_not,image_counts,jpg_url
892420643555336193,2017-08-01 16:23:56,7703,36183,Phineas,,1.3,,,False,1.0,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg
892177421306343426,2017-08-01 00:17:27,5696,31217,Tilly,,1.3,chihuahua,0.323581,True,1.0,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg
891815181378084864,2017-07-31 00:18:03,3776,23501,Archie,,1.2,chihuahua,0.716012,True,1.0,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg
891689557279858688,2017-07-30 15:58:51,7870,39489,Darla,,1.3,labrador_retriever,0.168086,True,1.0,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg
891327558926688256,2017-07-29 16:00:24,8478,37709,Franklin,,1.2,basset,0.555712,True,2.0,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg
891087950875897856,2017-07-29 00:08:17,2844,18992,None,,1.3,chesapeake_bay_retriever,0.425595,True,1.0,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg
890971913173991426,2017-07-28 16:27:12,1847,11062,Jax,,1.3,appenzeller,0.34170300000000003,True,1.0,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg
890729181411237888,2017-07-28 00:22:40,17197,60985,None,,1.3,pomeranian,0.566142,True,2.0,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg
890609185150312448,2017-07-27 16:25:51,3910,26142,Zoey,,1.3,irish_terrier,0.487574,True,1.0,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg
890240255349198849,2017-07-26 15:59:51,6690,29886,Cassie,doggo,1.4,pembroke,0.511319,True,1.0,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg
890006608113172480,2017-07-26 00:31:25,6675,28759,Koda,,1.3,samoyed,0.957979,True,1.0,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg
889880896479866881,2017-07-25 16:11:53,4546,26167,Bruno,,1.3,french_bulldog,0.377417,True,1.0,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg
889665388333682689,2017-07-25 01:55:32,9117,45051,None,puppo,1.3,pembroke,0.966327,True,1.0,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg
889638837579907072,2017-07-25 00:10:02,4087,25360,Ted,,1.2,french_bulldog,0.99165,True,1.0,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg
889531135344209921,2017-07-24 17:02:04,2055,14194,Stuart,puppo,1.3,golden_retriever,0.953442,True,1.0,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg
889278841981685760,2017-07-24 00:19:32,4858,23627,Oliver,,1.3,whippet,0.626152,True,1.0,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg
888917238123831296,2017-07-23 00:22:39,4098,27290,Jim,,1.2,golden_retriever,0.714719,True,1.0,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg
888804989199671297,2017-07-22 16:56:37,3867,23989,Zeke,,1.3,golden_retriever,0.46976,True,1.0,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg
888554962724278272,2017-07-22 00:23:06,3176,18512,Ralphus,,1.3,siberian_husky,0.700377,True,3.0,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg
888078434458587136,2017-07-20 16:49:33,3160,20428,Gerald,,1.2,french_bulldog,0.995026,True,1.0,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg
887705289381826560,2017-07-19 16:06:48,4911,28360,Jeffrey,,1.3,basset,0.821664,True,1.0,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg
887517139158093824,2017-07-19 03:39:09,10734,43484,,,1.4,,,False,1.0,https://pbs.twimg.com/ext_tw_video_thumb/887517108413886465/pu/img/WanJKwssZj4VJvL9.jpg
887473957103951883,2017-07-19 00:47:34,16403,64451,Canela,,1.3,pembroke,0.809197,True,2.0,https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg
887343217045368832,2017-07-18 16:08:03,9550,31564,None,,1.3,mexican_hairless,0.330741,True,1.0,https://pbs.twimg.com/ext_tw_video_thumb/887343120832229379/pu/img/6HSuFrW1lzI_9Mht.jpg
887101392804085760,2017-07-18 00:07:08,5442,28709,None,,1.2,samoyed,0.733942,True,1.0,https://pbs.twimg.com/media/DE-eAq6UwAA-jaE.jpg
886983233522544640,2017-07-17 16:17:36,6998,32746,Maya,,1.3,chihuahua,0.793469,True,2.0,https://pbs.twimg.com/media/DE8yicJW0AAAvBJ.jpg
886736880519319552,2017-07-16 23:58:41,2930,11234,Mingus,,1.3,kuvasz,0.309706,True,1.0,https://pbs.twimg.com/media/DE5Se8FXcAAJFx4.jpg
886680336477933568,2017-07-16 20:14:00,4079,21072,Derek,,1.3,,,False,1.0,https://pbs.twimg.com/media/DE4fEDzWAAAyHMM.jpg
886366144734445568,2017-07-15 23:25:31,2889,19824,Roscoe,pupper,1.2,french_bulldog,0.999201,True,1.0,https://pbs.twimg.com/media/DE0BTnQUwAApKEH.jpg
886258384151887873,2017-07-15 16:17:19,5762,26242,Waffles,,1.3,pug,0.943575,True,1.0,https://pbs.twimg.com/media/DEyfTG4UMAE4aE9.jpg
885984800019947520,2017-07-14 22:10:11,6125,30531,Jimbo,,1.2,blenheim_spaniel,0.972494,True,1.0,https://pbs.twimg.com/media/DEumeWWV0AA-Z61.jpg
885528943205470208,2017-07-13 15:58:47,5829,33696,Maisey,,1.3,pug,0.369275,True,1.0,https://pbs.twimg.com/media/DEoH3yvXgAAzQtS.jpg
885518971528720385,2017-07-13 15:19:09,3405,19200,None,,1.4,,,,,
885167619883638784,2017-07-12 16:03:00,3987,20526,None,,1.3,malamute,0.8124819999999999,True,4.0,https://pbs.twimg.com/media/DEi_N9qXYAAgEEw.jpg
884925521741709313,2017-07-12 00:01:00,16506,72300,Earl,,1.2,italian_greyhound,0.259916,True,1.0,https://pbs.twimg.com/media/DEfjEaNXkAAtPlj.jpg
884876753390489601,2017-07-11 20:47:12,5092,26105,Lola,,1.3,chow,0.822103,True,1.0,https://pbs.twimg.com/media/DEe2tZXXkAAwyX3.jpg
884562892145688576,2017-07-11 00:00:02,4291,22788,Kevin,,1.3,pug,0.5464060000000001,True,1.0,https://pbs.twimg.com/media/DEaZQkfXUAEC7qB.jpg
884441805382717440,2017-07-10 15:58:53,5200,25408,None,,1.4,pembroke,0.993225,True,1.0,https://pbs.twimg.com/media/DEYrIZwWsAA2Wo5.jpg
884247878851493888,2017-07-10 03:08:17,18530,68095,None,,1.3,,,,,
884162670584377345,2017-07-09 21:29:42,2733,19136,Yogi,doggo,1.2,german_shepherd,0.707046,True,1.0,https://pbs.twimg.com/media/DEUtQbzW0AUTv_o.jpg
883838122936631299,2017-07-09 00:00:04,3134,20502,Noah,,1.2,doberman,0.610946,True,1.0,https://pbs.twimg.com/media/DEQGFgAXUAAEvfi.jpg
883482846933004288,2017-07-08 00:28:19,9010,42972,Bella,,1.35,golden_retriever,0.943082,True,1.0,https://pbs.twimg.com/media/DELC9dZXUAADqUk.jpg
883360690899218434,2017-07-07 16:22:55,3375,21260,Grizzwald,floofer,1.3,chow,0.987997,True,1.0,https://pbs.twimg.com/media/DEJT3FeXoAAtwUy.jpg
